Plugin,"String Key",English,"Hindi (hi)","Marathi (mr)","Swahili (sw)","Kannada (kn)"
local_airpay_catalog,pluginname,"Airpay Course Catalog","एयरपे कोर्स कैटलॉग","एअरपे कोर्स कॅटलॉग","Katalogi ya Kozi za Airpay","ಏರ್‌ಪೇ ಕೋರ್ಸ್ ಕ್ಯಾಟಲಾಗ್"
local_airpay_catalog,catalog,"Course Catalog","कोर्स कैटलॉग","कोर्स कॅटलॉग","Katalogi ya Kozi","ಕೋರ್ಸ್ ಕ್ಯಾಟಲಾಗ್"
local_airpay_catalog,privacy:metadata,"The catalog plugin does not store personal data.","कैटलॉग प्लगइन व्यक्तिगत डेटा संग्रहीत नहीं करता है।","कॅटलॉग प्लगइन वैयक्तिक डेटा संग्रहित करत नाही.","Programu-jalizi ya katalogi haihifadhi data binafsi.","ಕ್ಯಾಟಲಾಗ್ ಪ್ಲಗಿನ್ ವೈಯಕ್ತಿಕ ಡೇಟಾವನ್ನು ಸಂಗ್ರಹಿಸುವುದಿಲ್ಲ."
local_airpay_catalog,search,"Search courses, topics, skills...","कोर्स, विषय, कौशल खोजें...","कोर्स, विषय, कौशल्ये शोधा...","Tafuta kozi, mada, ujuzi...","ಕೋರ್ಸ್‌ಗಳು, ವಿಷಯಗಳು, ಕೌಶಲ್ಯಗಳನ್ನು ಹುಡುಕಿ..."
local_airpay_catalog,continuelearning,"Continue Learning","सीखना जारी रखें","शिकणे सुरू ठेवा","Endelea Kujifunza","ಕಲಿಕೆ ಮುಂದುವರಿಸಿ"
local_airpay_catalog,trending,"Trending in Your Department","आपके विभाग में ट्रेंडिंग","तुमच्या विभागात ट्रेंडिंग","Maarufu katika Idara Yako","ನಿಮ್ಮ ವಿಭಾಗದಲ್ಲಿ ಟ್ರೆಂಡಿಂಗ್"
local_airpay_catalog,newthismonth,"New This Month","इस महीने नया","या महिन्यात नवीन","Mpya Mwezi Huu","ಈ ತಿಂಗಳು ಹೊಸದು"
local_airpay_catalog,browsecategory,"Browse by Category","श्रेणी से ब्राउज़ करें","श्रेणीनुसार ब्राउझ करा","Vinjari kwa Jamii","ವರ್ಗದ ಪ್ರಕಾರ ಬ್ರೌಸ್ ಮಾಡಿ"
local_airpay_catalog,allcourses,"All Courses","सभी कोर्स","सर्व कोर्स","Kozi Zote","ಎಲ್ಲಾ ಕೋರ್ಸ್‌ಗಳು"
local_airpay_catalog,newest,Newest,नवीनतम,नवीनतम,"Mpya zaidi",ಹೊಸ
local_airpay_catalog,popular,Popular,लोकप्रिय,लोकप्रिय,Maarufu,ಜನಪ್ರಿಯ
local_airpay_catalog,atoz,A-Z,क-ख,अ-ज्ञ,A-Z,ಅ-ಹ
local_airpay_catalog,nocourses,"No courses found.","कोई कोर्स नहीं मिला।","कोणतेही कोर्स सापडले नाहीत.","Hakuna kozi zilizopatikana.","ಯಾವುದೇ ಕೋರ್ಸ್‌ಗಳು ಕಂಡುಬಂದಿಲ್ಲ."
local_airpay_catalog,loadmore,"Load more","और लोड करें","अधिक लोड करा","Pakia zaidi","ಇನ್ನಷ್ಟು ಲೋಡ್ ಮಾಡಿ"
local_airpay_catalog,viewdetails,"View Details","विवरण देखें","तपशील पहा","Tazama Maelezo","ವಿವರಗಳನ್ನು ನೋಡಿ"
local_airpay_catalog,enroll,Enroll,"नामांकन करें","नोंदणी करा",Jiandikishe,ನೋಂದಾಯಿಸಿ
local_airpay_catalog,continue,Continue,"जारी रखें","सुरू ठेवा",Endelea,ಮುಂದುವರಿಸಿ
local_airpay_gamification,pluginname,"Airpay Gamification","एयरपे गेमिफिकेशन","एअरपे गेमिफिकेशन","Mchezo wa Airpay","ಏರ್‌ಪೇ ಗೇಮಿಫಿಕೇಶನ್"
local_airpay_gamification,privacy:metadata,"The gamification plugin stores points and badge data linked to user IDs.",,"गेमिफिकेशन प्लगइन वापरकर्ता आयडीशी जोडलेले गुण आणि बॅज डेटा संग्रहित करते.","Programu-jalizi ya mchezo huhifadhi data ya alama na beji zilizounganishwa na vitambulisho vya mtumiaji.","ಗೇಮಿಫಿಕೇಶನ್ ಪ್ಲಗಿನ್ ಬಳಕೆದಾರರ ಐಡಿಗಳಿಗೆ ಲಿಂಕ್ ಮಾಡಿದ ಅಂಕ ಮತ್ತು ಬ್ಯಾಡ್ಜ್ ಡೇಟಾವನ್ನು ಸಂಗ್ರಹಿಸುತ್ತದೆ."
local_airpay_gamification,points,Points,अंक,गुण,Alama,ಅಂಕಗಳು
local_airpay_gamification,totalpoints,"Total Points","कुल अंक","एकूण गुण","Jumla ya Alama","ಒಟ್ಟು ಅಂಕಗಳು"
local_airpay_gamification,pointstoday,"Points Today","आज के अंक","आजचे गुण","Alama za Leo","ಇಂದಿನ ಅಂಕಗಳು"
local_airpay_gamification,pointshistory,"Points History","अंक इतिहास","गुणांचा इतिहास","Historia ya Alama","ಅಂಕಗಳ ಇತಿಹಾಸ"
local_airpay_gamification,level,Level,स्तर,स्तर,Ngazi,ಮಟ್ಟ
local_airpay_gamification,badges,Badges,बैज,बॅजेस,Beji,ಬ್ಯಾಡ್ಜ್‌ಗಳು
local_airpay_gamification,badgeearned,"Badge earned!","बैज अर्जित!","बॅज मिळाला!","Beji imepatikana!","ಬ್ಯಾಡ್ಜ್ ಗಳಿಸಿದ್ದೀರಿ!"
local_airpay_gamification,badge_first_step,"First Step","पहला कदम","पहिले पाऊल","Hatua ya Kwanza","ಮೊದಲ ಹೆಜ್ಜೆ"
local_airpay_gamification,badge_first_step_desc,"Complete your first course","अपना पहला कोर्स पूरा करें","तुमचा पहिला कोर्स पूर्ण करा","Kamilisha kozi yako ya kwanza","ನಿಮ್ಮ ಮೊದಲ ಕೋರ್ಸ್ ಪೂರ್ಣಗೊಳಿಸಿ"
local_airpay_gamification,badge_quick_learner,"Quick Learner","तेज़ शिक्षार्थी","जलद शिकणारा","Mwanafunzi wa Haraka","ವೇಗದ ಕಲಿಕೆಗಾರ"
local_airpay_gamification,badge_quick_learner_desc,"Complete 5 courses","5 कोर्स पूरे करें","५ कोर्स पूर्ण करा","Kamilisha kozi 5","5 ಕೋರ್ಸ್‌ಗಳನ್ನು ಪೂರ್ಣಗೊಳಿಸಿ"
local_airpay_gamification,badge_knowledge_seeker,"Knowledge Seeker","ज्ञान साधक","ज्ञान शोधक","Mtafutaji wa Maarifa","ಜ್ಞಾನ ಅನ್ವೇಷಕ"
local_airpay_gamification,badge_knowledge_seeker_desc,"Complete 10 courses","10 कोर्स पूरे करें","१० कोर्स पूर्ण करा","Kamilisha kozi 10","10 ಕೋರ್ಸ್‌ಗಳನ್ನು ಪೂರ್ಣಗೊಳಿಸಿ"
local_airpay_gamification,badge_compliance_champion,"Compliance Champion","अनुपालन चैंपियन","अनुपालन चॅम्पियन","Bingwa wa Utiifu","ಅನುಸರಣೆ ಚಾಂಪಿಯನ್"
local_airpay_gamification,badge_compliance_champion_desc,"Complete all mandatory compliance courses","सभी अनिवार्य अनुपालन कोर्स पूरे करें","सर्व अनिवार्य अनुपालन कोर्स पूर्ण करा","Kamilisha kozi zote za lazima za utiifu","ಎಲ್ಲಾ ಕಡ್ಡಾಯ ಅನುಸರಣೆ ಕೋರ್ಸ್‌ಗಳನ್ನು ಪೂರ್ಣಗೊಳಿಸಿ"
local_airpay_gamification,badge_streak_master,"Streak Master","स्ट्रीक मास्टर","स्ट्रीक मास्टर","Bwana wa Mfululizo","ಸ್ಟ್ರೀಕ್ ಮಾಸ್ಟರ್"
local_airpay_gamification,badge_streak_master_desc,"Maintain a 30-day login streak","30-दिन की लॉगिन स्ट्रीक बनाए रखें","३० दिवसांची लॉगिन स्ट्रीक टिकवा","Dumisha mfululizo wa kuingia kwa siku 30","30 ದಿನಗಳ ಲಾಗಿನ್ ಸ್ಟ್ರೀಕ್ ನಿರ್ವಹಿಸಿ"
local_airpay_gamification,badge_quiz_ace,"Quiz Ace","क्विज़ एस","क्विझ एक्स","Bingwa wa Mtihani","ಕ್ವಿಜ್ ಏಸ್"
